name,level,size,law,moral,ac,hp,perception,fortitude,reflex,willpower,strength,dexterity,constitution,intelligence,wisdom,charisma,acrobatics,arcana,athletics,crafting,deception,diplomacy,intimidation,medicine,nature,occultism,performance,religion,society,stealth,survival,thievery
Graylok Artillerists,8,4,1,1,26,100,16,19,16,13,5,3,5,3,2,0,0,0,21,18,0,0,16,0,0,0,0,0,0,0,0,0
Ancient Tupilaq,11,3,2,2,32,145,22,17,15,12,7,5,5,-5,5,-5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashen Swale,7,3,2,1,23,120,13,18,12,15,1,1,3,2,2,4,12,15,0,0,17,0,17,0,15,0,0,0,0,0,13,12
Skrik Nettle,6,4,2,2,22,130,16,10,17,14,4,5,2,-4,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canker Cultist,3,3,1,1,19,45,11,7,9,12,4,3,1,1,3,3,9,0,10,0,0,0,10,0,0,8,0,8,0,9,0,0
Urdefhan Lasher,7,3,2,1,24,120,16,17,14,16,5,3,4,0,3,2,0,0,17,0,0,0,13,0,0,0,0,14,0,0,14,0
Arms of Balance Jivati Rovat,15,3,3,2,35,300,27,27,27,27,5,4,4,0,4,1,29,0,30,0,0,0,0,0,0,0,26,0,0,0,0,0
Rust Hag,8,3,1,1,26,135,16,16,15,18,6,5,4,3,4,4,0,0,18,16,0,0,16,0,0,16,0,0,0,0,16,0
Warped Brew Morlock,2,3,1,1,17,38,7,7,11,9,4,3,1,-2,3,1,7,0,8,8,0,0,0,0,0,0,0,0,0,9,0,0
Dajermube,16,3,2,1,38,255,33,25,29,31,-5,6,0,4,8,6,0,0,0,0,29,29,31,0,0,0,0,33,0,31,0,0
Sarvel Ever-Hunger,22,4,1,1,48,430,39,37,34,36,9,2,6,2,6,4,0,38,41,0,0,0,40,0,0,0,0,42,0,0,40,0
Gurgist Mauler,6,3,2,2,23,120,14,14,12,16,5,2,4,3,4,2,0,13,17,15,14,0,0,12,0,0,12,0,0,0,0,0
Spellskein Control Weather,0,1,2,2,16,15,2,5,9,4,-1,3,1,-4,0,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Hill Giant Butcher,14,4,1,1,36,260,25,28,23,26,8,4,5,-2,5,0,0,0,28,0,0,0,24,0,0,0,0,0,0,0,25,0
Cephal Lorentus,9,3,2,1,28,140,18,15,15,21,0,2,0,6,2,4,20,0,0,0,0,17,0,0,19,0,0,0,19,0,17,0
Last Guard,20,6,3,2,45,330,33,34,36,31,-5,10,10,7,7,6,38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
Swamp Ooze,1,3,2,2,8,40,3,9,1,3,2,-5,4,-5,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tombstone Troll,1,2,1,1,13,25,7,6,9,5,3,2,1,-3,0,-2,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0
Ainamuuren,12,4,2,1,32,215,23,23,22,23,7,4,5,0,5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,22,0,0
Hallod,3,3,3,1,19,44,9,8,10,7,4,3,1,0,2,0,8,0,11,0,0,0,0,0,7,0,0,0,0,8,7,0
Languid Purple Worm,12,6,2,2,30,250,18,26,19,19,9,-1,7,-5,-1,-1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Badger,0,2,2,2,16,15,6,8,5,6,0,1,2,-5,2,-2,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0
Skeleton Guard,-1,3,2,1,16,4,2,2,8,2,2,4,0,-5,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ileosa's Shell,13,3,2,1,34,235,24,22,26,24,8,5,5,0,5,0,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Kargstaad's Giant,15,4,1,1,37,270,27,29,25,25,8,4,6,0,4,4,0,0,31,25,0,0,27,0,0,0,0,0,0,25,0,0
Tormented Dislocation,14,3,1,1,35,250,27,22,26,27,6,4,4,-1,5,8,24,0,26,0,0,0,28,0,0,0,0,0,0,24,0,0
Runecarved Lich,19,3,2,1,42,330,32,27,33,36,5,6,4,7,7,10,0,34,0,38,35,35,37,0,0,36,0,34,0,33,0,0
Kobold Dragon Spellweaver,4,2,3,1,20,52,10,8,12,12,-1,4,0,2,2,4,0,8,0,0,10,10,10,0,0,0,0,0,0,10,0,0
Teflar,2,3,2,1,16,28,8,7,6,10,0,1,2,0,3,4,0,0,0,0,8,0,8,0,0,0,0,7,0,5,0,0
Mobogo,10,5,1,1,29,160,21,22,17,19,7,5,6,-2,5,7,19,0,23,0,0,0,0,0,21,0,0,0,0,19,0,0
Water Elemental Vessel,16,4,2,2,40,225,28,30,28,22,8,8,8,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,32,0,0
Bugbear Bully,4,3,3,1,18,75,7,14,9,8,5,2,3,-1,1,0,10,0,12,0,0,0,8,0,0,0,0,0,0,8,0,0
Weretiger,4,4,2,1,21,75,11,11,13,9,4,3,3,0,3,-1,11,0,12,0,7,0,0,0,0,0,0,0,10,11,0,0
Gurtlekep,2,2,3,1,18,30,7,10,8,5,1,4,2,4,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,10,0,8
Harrow Reader,-1,3,2,2,13,9,7,3,6,10,1,2,1,2,3,3,0,0,0,0,0,8,0,0,0,7,10,0,7,0,0,0
Bauble Beast,6,4,2,2,23,100,13,15,12,15,4,4,3,1,3,4,0,0,14,13,14,12,0,0,0,0,0,0,11,14,0,14
Slime Mold,2,4,2,2,12,60,6,11,3,4,3,0,5,-5,0,-5,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Bone Gladiator,7,5,2,1,24,105,16,17,13,13,7,0,5,-5,2,4,0,0,20,0,0,0,17,0,0,0,0,0,0,0,0,0
Zinba,10,4,2,2,28,220,20,23,20,18,8,3,7,-3,3,0,18,0,25,0,0,0,0,0,0,0,0,0,0,18,18,0
